,obj,status,move_cost,reward,reward1,reward2,reward3,reward4,batch,pomo
142,1053.2278,0,286.0,1053.2278,44.0,723.2277221679688,0.0,0.0,14,2
143,1037.4016,0,286.0,1037.4016,43.0,708.4016723632812,0.0,0.0,14,3
144,1050.5874,0,286.0,1050.5874,44.0,720.5874633789062,0.0,0.0,14,4
145,1025.9751,0,286.0,1025.9751,46.0,693.9750366210938,0.0,0.0,14,5
146,1066.5312,0,282.0,1066.5312,38.0,746.5313110351562,0.0,0.0,14,6
147,1098.2388,0,283.0,1098.2388,71.0,744.2388305664062,0.0,0.0,14,7
148,1048.9841,0,287.0,1048.9841,28.0,733.9841918945312,0.0,0.0,14,8
149,1010.8055,0,285.0,1010.8055,34.0,691.8054809570312,0.0,0.0,14,9
150,1141.7249,0,267.0,1141.7249,32.0,842.7247924804688,0.0,0.0,15,0
151,1129.1973,0,266.0,1129.1973,30.0,833.1972045898438,0.0,0.0,15,1
152,1140.1509,0,266.0,1140.1509,38.0,836.1509399414062,0.0,0.0,15,2
153,1134.1171,0,266.0,1134.1171,37.0,831.1170654296875,0.0,0.0,15,3
154,1151.2423,0,267.0,1151.2423,38.0,846.2423095703125,0.0,0.0,15,4
155,1143.7788,0,266.0,1143.7788,31.0,846.7788696289062,0.0,0.0,15,5
156,1122.9407,0,268.0,1122.9407,25.0,829.9406127929688,0.0,0.0,15,6
157,1208.7266,0,262.0,1208.7266,61.0,876.7265625,0.0,9.0,15,7
158,1197.9727,0,266.0,1197.9727,36.0,895.9727172851562,0.0,0.0,15,8
159,1115.426,0,268.0,1115.426,26.0,821.4260864257812,0.0,0.0,15,9
160,1091.7124,0,254.0,1091.7124,38.0,799.71240234375,0.0,0.0,16,0
161,1114.9622,0,254.0,1114.9622,51.0,809.9620971679688,0.0,0.0,16,1
162,1128.0488,0,254.0,1128.0488,54.0,820.0488891601562,0.0,0.0,16,2
163,1095.9688,0,252.0,1095.9688,38.0,805.9686889648438,0.0,0.0,16,3
164,1090.3447,0,254.0,1090.3447,39.0,797.3446655273438,0.0,0.0,16,4
165,1085.9465,0,255.0,1085.9465,58.0,772.946533203125,0.0,0.0,16,5
166,1103.6199,0,254.0,1103.6199,39.0,810.6199340820312,0.0,0.0,16,6
167,1122.2256,0,252.0,1122.2256,63.0,807.2255859375,0.0,0.0,16,7
168,1092.4109,0,255.0,1092.4109,40.0,797.4109497070312,0.0,0.0,16,8
169,1101.687,0,256.0,1101.687,39.0,806.6870727539062,0.0,0.0,16,9
170,1043.613,0,293.0,1043.613,15.0,735.613037109375,0.0,0.0,17,0
